suburb,address,price
Parramatta,"Parramatta, NSW53 Crimea Street",1600000
Concord,"Concord, NSW4 Wallace Street",3380000
Dundas Valley,"Dundas Valley, NSW55 Perry Street",1690000
North Parramatta,"North Parramatta, NSW93 Buller Street",1550000
Bondi Junction,"Bondi Junction, NSW90 Ruthven Street",2275000
Dundas,"Dundas, NSW15 Yawung Street",1708000
Randwick,"Randwick, NSW17 Jane Street",2850000
Rydalmere,"Rydalmere, NSW13A Burbang Crescent",1500000
Gladesville,"Gladesville, NSW201 Ryde Road",2060000
South Coogee,"South Coogee, NSW182 Malabar  Road",2110000
Glebe,"Glebe, NSW32 Forsyth Street",1225000
Strathfield,"Strathfield, NSW37 Rickard Road",2920000
Kyle Bay,"Kyle Bay, NSW39 Riverview Avenue",2700000
North Ryde,"North Ryde, NSW44 Jopling  Street",2350000
Chatswood,"Chatswood, NSW29 Dalrymple Avenue",2610000
Concord West,"Concord West, NSW87 Consett Street",3120000
Oatlands,"Oatlands, NSW4 Kerrie Road",2225000
Burwood,"Burwood, NSW31A Neich Parade",2920000
Strathfield,"Strathfield, NSW7 Simone Crescent",3555000
Enfield,"Enfield, NSW11 The Parade",1870000
North Balgowlah,"North Balgowlah, NSW6 Eileen Street",3550000
East Ryde,"East Ryde, NSW103 Melba Drive",2400000
Carlingford,"Carlingford, NSW92 Arcadian Circuit",2105000
Cammeray,"Cammeray, NSW14 Palmer Street",3250000
Lidcombe,"Lidcombe, NSW115 Platform Street",1850000
Lugarno,"Lugarno, NSW1 Linden Crescent",1922000
Naremburn,"Naremburn, NSW18 Dargan Street",3100000
Manly,"Manly, NSW8 Iluka Avenue",4200000
Lane Cove,"Lane Cove, NSW126 Epping Road",1923000
Concord,"Concord, NSW26 Denison  Street",5960000
Belfield,"Belfield, NSW36A Michael Avenue",2370000
Haberfield,"Haberfield, NSW40 Kingston Street",3550000
Strathfield,"Strathfield, NSW6 Wakeford Road",4525000
Carlingford,"Carlingford, NSW4 Tamboy Avenue",2420000
Enmore,"Enmore, NSW41 Simmons Street",1821000
Annandale,"Annandale, NSW209 Nelson Lane",2312000
Rozelle,"Rozelle, NSW14 Charlotte Street",2165000
Telopea,"Telopea, NSW21 Yurunga Street",2295000
Homebush,"Homebush, NSW10 Abbotsford Road",5675000
Burwood,"Burwood, NSW21 Shaftesbury Road",3100000
North Parramatta,"North Parramatta, NSW24 Galloway Street",1061000
Chatswood,"Chatswood, NSW1 Dulwich Road",3450000
West Pennant Hills,"West Pennant Hills, NSW10 Kookaburra Place",2350000
Penshurst,"Penshurst, NSW34 Grove  Avenue",1855000
Dundas Valley,"Dundas Valley, NSW44 Warwick Road",1513000
Belfield,"Belfield, NSW33 Linda Street",1700000
Concord West,"Concord West, NSW22 Myall Street",2680000
Burwood,"Burwood, NSW78 Fitzroy Street",3640000
Westmead,"Westmead, NSW19/53-57 Good Street",490000
Bondi Beach,"Bondi Beach, NSW39  Simpson Street",5150000
Abbotsford,"Abbotsford, NSW21 Tyler Crescent",4100000
Strathfield,"Strathfield, NSW26 Kingsland Road",4100000
North Ryde,"North Ryde, NSW95 Parklands Road",2462500
Randwick,"Randwick, NSW24 Coogee Street",4050000
Balmain,"Balmain, NSW89 Elliott Street",3150000
Pagewood,"Pagewood, NSW5 Macarthur Avenue",3140000
Eastwood,"Eastwood, NSW1 Grove Street",2420000
Rozelle,"Rozelle, NSW24 Rosser Street",2280000
Greenacre,"Greenacre, NSW31 Rea Street",1705000
Strathfield,"Strathfield, NSW53 Churchill Avenue",3235000
Strathfield South,"Strathfield South, NSW23 Frances Avenue",1875000
